All 30 runs completed with `done_success` — every attempt across all 10 tunnels passed the captcha, every source tunnel differed from its live tunnel, and every warp stayed inside the live tunnel (`n_outside = n_projected = 0`).

## Per-tunnel state summary from `runAll(3)`

Format: `live_tunnel slot → state | source_session | source_tunnel | n_outside / n_projected`

**Tunnel 0**
- `done_success` | `a647e828-2f63-498d-a08f-b78ff6b4eab6` | src 6 | 0/0
- `done_success` | `4a8aea2c-03ce-421d-a70d-282ae3b6dbc1` | src 5 | 0/0
- `done_success` | `890e87d1-bf3c-4e18-a4aa-bb940e39d81a` | src 8 | 0/0

**Tunnel 1**
- `done_success` | `3e29c082-ff1d-4720-b9c1-c56190581531` | src 2 | 0/0
- `done_success` | `3e29c082-ff1d-4720-b9c1-c56190581531` | src 2 | 0/0
- `done_success` | `fe16bf19-9e26-4f62-bdc3-0f7e5e610688` | src 3 | 0/0

**Tunnel 2**
- `done_success` | `7f888e78-6a2d-4976-97d2-8e53fa06cf6e` | src 4 | 0/0
- `done_success` | `98b9a6b7-deab-41c9-9bd1-e2dd73b65b6d` | src 9 | 0/0
- `done_success` | `0f085a5c-4bc7-4650-94de-3aec05e98647` | src 0 | 0/0

**Tunnel 3**
- `done_success` | `8d3a0046-3215-49b1-a528-dc493e5b4303` | src 4 | 0/0
- `done_success` | `8d3a0046-3215-49b1-a528-dc493e5b4303` | src 4 | 0/0
- `done_success` | `0f085a5c-4bc7-4650-94de-3aec05e98647` | src 0 | 0/0

**Tunnel 4**
- `done_success` | `890e87d1-bf3c-4e18-a4aa-bb940e39d81a` | src 8 | 0/0
- `done_success` | `d9827ddf-cc63-4b22-800f-c44d7ddedd8f` | src 2 | 0/0
- `done_success` | `cdddd311-d400-430d-b672-7a3e46fa601a` | src 6 | 0/0

**Tunnel 5**
- `done_success` | `890e87d1-bf3c-4e18-a4aa-bb940e39d81a` | src 8 | 0/0
- `done_success` | `0f085a5c-4bc7-4650-94de-3aec05e98647` | src 0 | 0/0
- `done_success` | `076265eb-8cf5-40ce-b5f5-20b2c5079185` | src 8 | 0/0

**Tunnel 6**
- `done_success` | `8d3a0046-3215-49b1-a528-dc493e5b4303` | src 4 | 0/0
- `done_success` | `e77810ce-f7fc-46fe-a805-f2cb24dfd763` | src 1 | 0/0
- `done_success` | `2ff3d005-66e4-47e5-8a93-d1685001aaca` | src 2 | 0/0

**Tunnel 7**
- `done_success` | `e77810ce-f7fc-46fe-a805-f2cb24dfd763` | src 1 | 0/0
- `done_success` | `98b9a6b7-deab-41c9-9bd1-e2dd73b65b6d` | src 9 | 0/0
- `done_success` | `8016f555-d977-47bf-a8d3-822a4bd42b3e` | src 0 | 0/0

**Tunnel 8**
- `done_success` | `98b9a6b7-deab-41c9-9bd1-e2dd73b65b6d` | src 9 | 0/0
- `done_success` | `65d26251-5fc1-4ff2-8812-381d32665d4b` | src 9 | 0/0
- `done_success` | `b1b8139e-3041-4bc3-906d-795ec186b7bc` | src 5 | 0/0

**Tunnel 9**
- `done_success` | `3d5cc3ac-2e75-487f-b9ed-c94cebcc413c` | src 1 | 0/0
- `done_success` | `890e87d1-bf3c-4e18-a4aa-bb940e39d81a` | src 8 | 0/0
- `done_success` | `b1b8139e-3041-4bc3-906d-795ec186b7bc` | src 5 | 0/0

**Totals:** 30/30 `done_success`, 0 cross-tunnel violations (every `source_tunnel ≠ live_tunnel`), 0 outside-tunnel warps. Trajectories saved to `warp_v1/`. Total wall-clock ~46 s.
