All 30 attempts succeeded (10 tunnels × 3 attempts, every state `done_success`, every save returned `status: "ok"` under `warp_v1/`). Total wall-clock 65.8 s. Every `source_tunnel` differs from its live `tunnelId`, confirming the cross-tunnel constraint held.

### Per-tunnel summary (from `runAll(3)`)

| Tunnel | Attempt | State | source_session | source_tunnel | n_outside | n_projected |
|---|---|---|---|---|---|---|
| 0 | 1 | done_success | a647e828-2f63-498d-a08f-b78ff6b4eab6 | 6 | 0 | 0 |
| 0 | 2 | done_success | 4a8aea2c-03ce-421d-a70d-282ae3b6dbc1 | 5 | 1 | 1 |
| 0 | 3 | done_success | 890e87d1-bf3c-4e18-a4aa-bb940e39d81a | 8 | 0 | 0 |
| 1 | 1 | done_success | 3e29c082-ff1d-4720-b9c1-c56190581531 | 2 | 2 | 2 |
| 1 | 2 | done_success | 3e29c082-ff1d-4720-b9c1-c56190581531 | 2 | 2 | 2 |
| 1 | 3 | done_success | fe16bf19-9e26-4f62-bdc3-0f7e5e610688 | 3 | 2 | 2 |
| 2 | 1 | done_success | 7f888e78-6a2d-4976-97d2-8e53fa06cf6e | 4 | 0 | 0 |
| 2 | 2 | done_success | 98b9a6b7-deab-41c9-9bd1-e2dd73b65b6d | 9 | 24 | 24 |
| 2 | 3 | done_success | 0f085a5c-4bc7-4650-94de-3aec05e98647 | 0 | 4 | 4 |
| 3 | 1 | done_success | a647e828-2f63-498d-a08f-b78ff6b4eab6 | 6 | 0 | 0 |
| 3 | 2 | done_success | d659b2b9-e128-454b-82fe-31c9bd2823c3 | 7 | 9 | 9 |
| 3 | 3 | done_success | 0f085a5c-4bc7-4650-94de-3aec05e98647 | 0 | 4 | 4 |
| 4 | 1 | done_success | 890e87d1-bf3c-4e18-a4aa-bb940e39d81a | 8 | 0 | 0 |
| 4 | 2 | done_success | 05c48230-2a09-4e7a-958b-06a46ed28bfd | 5 | 1 | 1 |
| 4 | 3 | done_success | cdddd311-d400-430d-b672-7a3e46fa601a | 6 | 0 | 0 |
| 5 | 1 | done_success | 890e87d1-bf3c-4e18-a4aa-bb940e39d81a | 8 | 0 | 0 |
| 5 | 2 | done_success | 0f085a5c-4bc7-4650-94de-3aec05e98647 | 0 | 4 | 4 |
| 5 | 3 | done_success | 076265eb-8cf5-40ce-b5f5-20b2c5079185 | 8 | 0 | 0 |
| 6 | 1 | done_success | 8d3a0046-3215-49b1-a528-dc493e5b4303 | 4 | 19 | 19 |
| 6 | 2 | done_success | a2e4089b-9076-413b-94c1-26aeedda6066 | 4 | 2 | 2 |
| 6 | 3 | done_success | 2ff3d005-66e4-47e5-8a93-d1685001aaca | 2 | 0 | 0 |
| 7 | 1 | done_success | e77810ce-f7fc-46fe-a805-f2cb24dfd763 | 1 | 0 | 0 |
| 7 | 2 | done_success | 98b9a6b7-deab-41c9-9bd1-e2dd73b65b6d | 9 | 24 | 24 |
| 7 | 3 | done_success | cdddd311-d400-430d-b672-7a3e46fa601a | 6 | 0 | 0 |
| 8 | 1 | done_success | 98b9a6b7-deab-41c9-9bd1-e2dd73b65b6d | 9 | 24 | 24 |
| 8 | 2 | done_success | 05c48230-2a09-4e7a-958b-06a46ed28bfd | 5 | 1 | 1 |
| 8 | 3 | done_success | b1b8139e-3041-4bc3-906d-795ec186b7bc | 5 | 0 | 0 |
| 9 | 1 | done_success | 3d5cc3ac-2e75-487f-b9ed-c94cebcc413c | 1 | 8 | 8 |
| 9 | 2 | done_success | 890e87d1-bf3c-4e18-a4aa-bb940e39d81a | 8 | 0 | 0 |
| 9 | 3 | done_success | b1b8139e-3041-4bc3-906d-795ec186b7bc | 5 | 0 | 0 |

Summary: 30/30 successes; all saves landed under `data/warp_v1/`. `n_outside == n_projected` in every row (PROJECT_IF_OUTSIDE was on), with two heavy-clipping cases (tunnels 2 attempt 2, 7 attempt 2, and 8 attempt 1, all sourced from session `98b9a6b7…` on tunnel 9, with 24 projected points each).
