All 30 attempts (10 tunnels × 3) completed with `done_success`. Cross-tunnel constraint held throughout — every `source_tunnel` differs from the live `tunnelId`. No warped points fell outside any live tunnel (`n_outside=0`, `n_projected=0` on every attempt).

## Per-tunnel state summary (as returned by `runAll(3)`)

| live tid | attempt | state | source_session | source_tunnel | n_outside | n_projected |
|---|---|---|---|---|---|---|
| 0 | 1 | done_success | a647e828-2f63-498d-a08f-b78ff6b4eab6 | 6 | 0 | 0 |
| 0 | 2 | done_success | 25cfab38-6cd6-45ae-a72f-4e63c5e6b7d2 | 1 | 0 | 0 |
| 0 | 3 | done_success | 02612c62-c385-479f-839e-95b35fbf2506 | 3 | 0 | 0 |
| 1 | 1 | done_success | 3e29c082-ff1d-4720-b9c1-c56190581531 | 2 | 0 | 0 |
| 1 | 2 | done_success | 3e29c082-ff1d-4720-b9c1-c56190581531 | 2 | 0 | 0 |
| 1 | 3 | done_success | fe16bf19-9e26-4f62-bdc3-0f7e5e610688 | 3 | 0 | 0 |
| 2 | 1 | done_success | 7f888e78-6a2d-4976-97d2-8e53fa06cf6e | 4 | 0 | 0 |
| 2 | 2 | done_success | 98b9a6b7-deab-41c9-9bd1-e2dd73b65b6d | 9 | 0 | 0 |
| 2 | 3 | done_success | 0f085a5c-4bc7-4650-94de-3aec05e98647 | 0 | 0 | 0 |
| 3 | 1 | done_success | 8d3a0046-3215-49b1-a528-dc493e5b4303 | 4 | 0 | 0 |
| 3 | 2 | done_success | 8d3a0046-3215-49b1-a528-dc493e5b4303 | 4 | 0 | 0 |
| 3 | 3 | done_success | 0f085a5c-4bc7-4650-94de-3aec05e98647 | 0 | 0 | 0 |
| 4 | 1 | done_success | 890e87d1-bf3c-4e18-a4aa-bb940e39d81a | 8 | 0 | 0 |
| 4 | 2 | done_success | d9827ddf-cc63-4b22-800f-c44d7ddedd8f | 2 | 0 | 0 |
| 4 | 3 | done_success | cdddd311-d400-430d-b672-7a3e46fa601a | 6 | 0 | 0 |
| 5 | 1 | done_success | 890e87d1-bf3c-4e18-a4aa-bb940e39d81a | 8 | 0 | 0 |
| 5 | 2 | done_success | 0f085a5c-4bc7-4650-94de-3aec05e98647 | 0 | 0 | 0 |
| 5 | 3 | done_success | 076265eb-8cf5-40ce-b5f5-20b2c5079185 | 8 | 0 | 0 |
| 6 | 1 | done_success | 8d3a0046-3215-49b1-a528-dc493e5b4303 | 4 | 0 | 0 |
| 6 | 2 | done_success | e77810ce-f7fc-46fe-a805-f2cb24dfd763 | 1 | 0 | 0 |
| 6 | 3 | done_success | 2ff3d005-66e4-47e5-8a93-d1685001aaca | 2 | 0 | 0 |
| 7 | 1 | done_success | e77810ce-f7fc-46fe-a805-f2cb24dfd763 | 1 | 0 | 0 |
| 7 | 2 | done_success | 98b9a6b7-deab-41c9-9bd1-e2dd73b65b6d | 9 | 0 | 0 |
| 7 | 3 | done_success | 8016f555-d977-47bf-a8d3-822a4bd42b3e | 0 | 0 | 0 |
| 8 | 1 | done_success | 98b9a6b7-deab-41c9-9bd1-e2dd73b65b6d | 9 | 0 | 0 |
| 8 | 2 | done_success | 65d26251-5fc1-4ff2-8812-381d32665d4b | 9 | 0 | 0 |
| 8 | 3 | done_success | b1b8139e-3041-4bc3-906d-795ec186b7bc | 5 | 0 | 0 |
| 9 | 1 | done_success | 3d5cc3ac-2e75-487f-b9ed-c94cebcc413c | 1 | 0 | 0 |
| 9 | 2 | done_success | 890e87d1-bf3c-4e18-a4aa-bb940e39d81a | 8 | 0 | 0 |
| 9 | 3 | done_success | b1b8139e-3041-4bc3-906d-795ec186b7bc | 5 | 0 | 0 |

Totals: 30/30 success, all saved under `warp_v1/`. Cross-tunnel invariant satisfied on every attempt (source_tunnel ≠ tunnelId).
